Species/Genus;Extinction risk;Resume;Plasticity
Actinemys marmorata;VU;Ameacado;NA
Agama impalearis;LC;Nameacado;0.02265667
Alligator mississippiensis;LC;Nameacado;3452363
Amalosia lesueurii;LC;Nameacado;NA
Amphibolurus muricatus;LC;Nameacado;3.02755
Anepischetosia maccoyi;LC;Nameacado;0.002961635
Anolis carolinensis;LC;Nameacado;0.09168802
Anolis sagrei;LC;Nameacado;0.0002
Apalone mutica;LC;Nameacado;1.138197
Apalone spinifera;LC;Nameacado;NA
Bassiana duperreyi;LC;Nameacado;0.03150361
Bungarus multicinctus;LC;Nameacado;0.9066667
Caiman latirostris;LC;Nameacado;223.8649
Caimen crocodilus;NA;NA;NA
Calotes versicolor;LC;Nameacado;1.769195
Caretta caretta;VU;Ameacado;23.73528
Carlia longipes;LC;Nameacado;0.005
Centrochelys sulcata;EN;Ameacado;324.9638
Chamaeleo calyptratus;LC;Nameacado;NA
Chamaeleo chamaeleon;LC;Nameacado;0.01686667
Chelodina expansa;NA;NA;8.025187
Chelodina longicollis;NA;NA;NA
Chelodina oblonga;NT;NA;NA
Chelodina rugosa;NA;NA;0.28165
Chelonia mydas;EN;Ameacado;1.6136
Chelydra serpentina;LC;Nameacado;NA
Chrysemys picta;LC;Nameacado;8.479427
Claudius angustatus;NT;Nameacado;NA
Clemmys guttata;EN;Ameacado;NA
Cnemaspis kandiana;EN;Ameacado;NA
Coleonyx elegans;LC;Nameacado;NA
Coluber constrictor;LC;Nameacado;0.9758333
Colubridae matrix;NA;NA;NA
Crocodylus johnsoni;LC;Nameacado;NA
Crocodylus moreletii;LC;Nameacado;NA
Crocodylus niloticus;LC;Nameacado;NA
Crocodylus palustris;VU;Ameacado;NA
Crocodylus porosus;LC;Nameacado;5.015
Crocodylus siamensis;LC;Nameacado;NA
Ctenophorus decresii;LC;Nameacado;0.00304
Ctenophorus fordi;LC;Nameacado;NA
Ctenophorus pictus;LC;Nameacado;NA
Cyclura nubila;VU;Ameacado;185.7139
Deinagkistrodon acutus;VU;Ameacado;2.15
Deirochelys reticularia;NA;NA;NA
Dermatemys mawii;CR;Ameacado;NA
Dermochelys coriacea;VU;Ameacado;NA
Dinodon rufozonatum;LC;Nameacado;NA
Dipsosaurus dorsalis;LC;Nameacado;NA
Elaphe carinata;LC;Nameacado;0.4971429
Elgaria multicarinata;LC;Nameacado;NA
Elseya albagula;NA;NA;95.08667
Elusor macrurus;EN;Ameacado;0.64172
Emydoidea blandingii;EN;Ameacado;NA
Emydura macquarii;NA;NA;385.9057
Emys marmorata;VU;Ameacado;NA
Emys orbicularis;NT;Nameacado;3.19297
Eretmochelys imbricata;CR;Ameacado;NA
Eublepharis macularius;LC;Nameacado;43.82277
Gavialis gangeticus;CR;Ameacado;NA
Gekko japonicus;LC;Nameacado;0.01502424
Geochelone platynota;CR;Ameacado;NA
Glyptemys insculpta;EN;Ameacado;NA
Glyptemys muhlenbergii;CR;Ameacado;NA
Gopherus agassizii;CR;Ameacado;311.9005
Gopherus polyphemus;VU;Ameacado;NA
Graptemys barbouri;VU;Ameacado;NA
Graptemys caglei;EN;Ameacado;NA
Graptemys geographica;LC;Nameacado;NA
Graptemys ouachitensis;LC;Nameacado;NA
Graptemys pseudogeographica;LC;Nameacado;NA
Graptemys versa;LC;Nameacado;NA
Hemidactylus bowringii;LC;Nameacado;NA
Hemidactylus frenatus;LC;Nameacado;NA
Heosemys grandis;CR;Ameacado;NA
Heterodon platirhinos;LC;Nameacado;NA
Heteronotia binoei;LC;Nameacado;0.0004322652
Iberolacerta cyreni;EN;Ameacado;0.02040851
Intellagama lesueurii;LC;Nameacado;NA
Kinosternon flavescens;LC;Nameacado;NA
Kinosternon hirtipes;LC;Nameacado;NA
Kinosternon leucostomum;NA;NA;NA
Kinosternon scorpioides;NA;NA;NA
Kinosternon subrubrum;LC;Nameacado;NA
Lacerta agilis;LC;Nameacado;438.3055
Lacerta schreiberi;NT;Nameacado;0.26056 
Lampropholis delicata;LC;Nameacado;0.005800707
Lampropholis guichenoti;LC;Nameacado;0.000028
Lepidodactylus lugubris;LC;Nameacado;NA
Liasis fuscus;LC;Nameacado;5.407267
Macrochelys temminckii;VU;Ameacado;NA
Malaclemys terrapin;VU;Ameacado;NA
Malacochersus tornieri;CR;Ameacado;NA
Malayemys macrocephala;LC;Nameacado;NA
Mauremys mutica;CR;Ameacado;277.643
Mauremys reevesii;EN;Ameacado;0.06668533
Melanochelys trijuga;LC;Nameacado;NA
Naja atra;VU;Ameacado;4.094292
Nannoscincus maccoyi;LC;Nameacado;0.000044
Natrix natrix;LC;Nameacado;NA
Oligosoma suteri;LC;Nameacado;0.4281356
Orthriophis taeniurus;NA;NA;NA
Pantherophis obsoletus;LC;Nameacado;2118.475
Paroedura picta;LC;Nameacado;0.0370319
Pelodiscus sinensis;VU;Ameacado;8.071716
Pelomedusa subrufa;NA;Nameacado;NA
Pelusios castaneus;NA;Nameacado;NA
Phrynocephalus albolineatus;NA;Nameacado;NA
Phrynocephalus axillaris;LC;Nameacado;NA
Phrynocephalus frontalis;LC;Nameacado;0.29783
Phrynocephalus grumgrzimailoi;NA;NA;NA
Phrynocephalus helioscopus;LC;Nameacado;NA
Phrynocephalus przewalskii;LC;Nameacado;0.01584578
Phrynocephalus versicolor;LC;Nameacado;0.1058818
Pituophis melanoleucus;LC;Nameacado;0.8866667
Plestiodon chinensis;LC;Nameacado;0.001237439 
Plestiodon elegans;LC;Nameacado;NA
Podarcis muralis;LC;Nameacado;0.006726252
Podocnemis expansa;NA;NA;NA
Podocnemis lewyana;CR;Ameacado;NA
Podocnemis unifilis;VU;Ameacado;NA
Psammodromus algirus;LC;Nameacado;0.0219378
Pseudemys concinna;LC;Nameacado;NA
Pseudemys floridana;NA;NA;NA
Pseudemys nelsoni;LC;Nameacado;0.421925
Ptyas dhumnades;LC;Nameacado;4.951518
Rhinoclemmys pulcherrima;NA;NA;NA
Saproscincus mustelinus;LC;Nameacado;0.005830606
Sceloporus aneus;NA;NA;0.00001
Sceloporus occidentalis;LC;Nameacado;0.01467871
Sceloporus scalaris;LC;Nameacado;NA
Sceloporus undulatus;LC;Nameacado;0.05375175
Sceloporus virgatus;LC;Nameacado;0.002236128
Scincella modesta;LC;Nameacado;2123.049
Sphenodon punctatus;LC;Nameacado;44.87387
Staurotypus salvinii;NT;Nameacado;NA
Staurotypus triporcatus;NT;Nameacado;NA
Sternotherus carinatus;LC;Nameacado;NA
Sternotherus minor;LC;Nameacado;NA
Sternotherus odoratus;LC;Nameacado;NA
Takydromus septentrionalis;LC;Nameacado;9763.918
Takydromus stejnegeri;LC;Nameacado;0.001100694
Takydromus wolteri;LC;Nameacado;12810.09
Terrapene carolina;VU;Ameacado;NA
Terrapene ornata;NT;Nameacado;0.017298
Trachemys scripta;LC;Nameacado;2.693158
Trionyx triunguis;VU;Ameacado;NA
Tropidonophis mairii;LC;Nameacado;0.05316944
Urosaurus ornatus;LC;Nameacado;0.0003554633
Uta stansburiana;LC;Nameacado;0.009518261
Varanus albigularis;LC;Nameacado;0.6114111
Xenochrophis piscator;LC;Nameacado;0.007576667
Zootoca vivipara;LC;Nameacado;124.7161
