"";"id";"paper_no";"species_complete";"simp_trait";"hedgesg"
"1";1;1000;"Cyclura nubila";"Mass";0,027
"2";2;1000;"Cyclura nubila";"Growth rate";-0,232
"3";4;1000;"Cyclura nubila";"Sex ratio";-0,446
"4";5;1000;"Cyclura nubila";"Snout-vent length";-0,41
"5";26;1008;"Sceloporus undulatus";"Growth rate";0,202
"6";27;1008;"Sceloporus undulatus";"Body condition ";6,367
"7";29;1008;"Sceloporus undulatus";"Survival";2,32
"8";35;1016;"Sceloporus undulatus";"Mass";0,094
"9";36;1016;"Sceloporus undulatus";"Yolk mass";-0,123
"10";50;1023;"Tropidonophis mairii";"Mass";0,053
"11";54;1023;"Tropidonophis mairii";"Abnormalities";9,931
"12";64;1025;"Lampropholis delicata";"Capture time";0,237
"13";65;1025;"Lampropholis delicata";"Digestion time";0,16
"14";66;1025;"Lampropholis delicata";"Handling time";0,034
"15";68;1025;"Lampropholis delicata";"Mobility time";-0,093
"16";69;1025;"Lampropholis delicata";"Number of shakes";0,228
"17";70;1025;"Lampropholis delicata";"Percent drop prey";-0,328
"18";71;1025;"Lampropholis delicata";"Percent fail";0,092
"19";72;1025;"Lampropholis delicata";"Subdue time";-0,368
"20";73;1029;"Chelydra serpentina";"Mass";0,441
"21";87;1034;"Paroedura picta";"Skin temperature";-0,233
"22";92;1035;"Chelydra serpentina";"Hatching success";-0,105
"23";93;1035;"Chelydra serpentina";"Mass";-0,352
"24";102;1041;"Chelodina expansa";"Mass";0,08
"25";108;1041;"Chelodina expansa";"Metabolic rate";-0,713
"26";122;1042;"Emydura macquarii";"Mass";-0,339
"27";129;1042;"Emydura macquarii";"Swimming speed";1,017
"28";133;1043;"Lampropholis guichenoti";"Mass";-2,348
"29";134;1043;"Bassiana duperreyi";"Mass";-0,18
"30";137;1043;"Lampropholis guichenoti";"Metabolic rate";-3,692
"31";138;1043;"Bassiana duperreyi";"Metabolic rate";-5,602
"32";149;1047;"Podarcis muralis";"Femur length";3,495
"33";150;1047;"Podarcis muralis";"Head length";3,115
"34";151;1047;"Podarcis muralis";"Head width";-0,47
"35";152;1047;"Podarcis muralis";"Humerus length";1,038
"36";153;1047;"Podarcis muralis";"Max distance between stops";24,916
"37";154;1047;"Podarcis muralis";"Mass";0,598
"38";155;1047;"Podarcis muralis";"Number of stops";-3,773
"39";156;1047;"Podarcis muralis";"Sprint speed";1,357
"40";157;1047;"Podarcis muralis";"Snout-vent length";0,331
"41";158;1047;"Podarcis muralis";"Tail length";3,401
"42";159;1049;"Chelydra serpentina";"Mass";0,095
"43";160;1049;"Chelydra serpentina";"Growth rate";25,456
"44";161;1051;"Tropidonophis mairii";"Incubation duration";6,919
"45";162;1051;"Tropidonophis mairii";"Mass";1,054
"46";163;1051;"Tropidonophis mairii";"Muscular strength";-1,696
"47";164;1051;"Tropidonophis mairii";"Body condition";-2,398
"48";165;1051;"Tropidonophis mairii";"Head length";0,719
"49";166;1051;"Tropidonophis mairii";"Sex ratio";0,891
"50";167;1051;"Tropidonophis mairii";"Snout-vent length";1,14
"51";168;1051;"Tropidonophis mairii";"Tail length";1,381
"52";169;1053;"Sceloporus occidentalis";"Forelimb length";-0,436
"53";170;1053;"Sceloporus occidentalis";"Head height";-1,558
"54";171;1053;"Sceloporus occidentalis";"Head length";0,384
"55";172;1053;"Sceloporus occidentalis";"Head width";-0,371
"56";173;1053;"Sceloporus occidentalis";"Hindlimb length";-0,204
"57";174;1053;"Sceloporus occidentalis";"Interlimb length";-0,219
"58";175;1053;"Sceloporus occidentalis";"Mass";0,363
"59";176;1053;"Sceloporus occidentalis";"Sprint speed";1,163
"60";177;1053;"Sceloporus occidentalis";"Snout-vent length";0,15
"61";178;1053;"Sceloporus occidentalis";"Tail length";-1,071
"62";179;1054;"Sceloporus occidentalis";"Forelimb length";-0,853
"63";180;1054;"Sceloporus occidentalis";"Hatching success";2,021
"64";181;1054;"Sceloporus occidentalis";"Hindlimb length";-0,572
"65";182;1054;"Sceloporus occidentalis";"Incubation duration";184,677
"66";183;1054;"Sceloporus occidentalis";"Interlimb length";-4,784
"67";185;1054;"Sceloporus occidentalis";"Snout-vent length";0,6
"68";186;1054;"Sceloporus occidentalis";"Tail length";-20,927
"69";194;1060;"Coluber constrictor";"Running time";-10,889
"70";197;1060;"Coluber constrictor";"Maneuverability";0,013
"71";207;1061;"Pituophis melanoleucus";"Antipredator behaviour";-0,367
"72";209;1061;"Pituophis melanoleucus";"Incline angle individual slid down";1,032
"73";222;1062;"Pituophis melanoleucus";"Emergence behaviour";-0,025
"74";224;1062;"Pituophis melanoleucus";"Incubation duration";49
"75";241;1063;"Pituophis melanoleucus";"Tongue flicking";-0,104
"76";280;1066;"Pituophis melanoleucus";"Hatching success";-0,354
"77";281;1066;"Pituophis melanoleucus";"Incubation duration";5,756
"78";282;1066;"Pituophis melanoleucus";"Sex ratio";-7,425
"79";294;1077;"Mauremys mutica";"Mass";-0,161
"80";295;1077;"Mauremys mutica";"Growth rate";-0,961
"81";296;1078;"Takydromus stejnegeri";"Mass";-1,744
"82";303;1082;"Bassiana duperreyi";"Cognition";-0,053
"83";310;1086;"Eublepharis macularius";"Brain region volume";-0,239
"84";312;1086;"Eublepharis macularius";"Brain region metabolic capacity";-0,191
"85";313;1090;"Eublepharis macularius";"Brain region volume";-0,003
"86";314;1090;"Eublepharis macularius";"Brain region metabolic activity";-0,325
"87";315;1091;"Eublepharis macularius";"Brain region volume";1,174
"88";316;1091;"Eublepharis macularius";"Androgens";-0,86
"89";317;1091;"Eublepharis macularius";"Estrogen";1,126
"90";318;1107;"Gopherus polyphemus";"Carapace length";-0,001
"91";322;1107;"Gopherus polyphemus";"Crawling time";0,113
"92";324;1113;"Eublepharis macularius";"Brain region dihydroxyphenylacetic acid";0,133
"93";325;1113;"Eublepharis macularius";"Brain region dopamine";0,293
"94";326;1113;"Eublepharis macularius";"Brain region tyrosine hydroxylase";-0,334
"95";328;1115;"Chamaeleo chamaeleon";"Hatching success";2,992
"96";329;1115;"Chamaeleo chamaeleon";"Incubation duration";13,694
"97";330;1115;"Chamaeleo chamaeleon";"Snout-vent length";2,012
"98";331;1115;"Chamaeleo chamaeleon";"Mass";2,231
"99";332;1119;"Gekko japonicus";"Mass";0,166
"100";334;1119;"Gekko japonicus";"Incubation duration";54,945
"101";336;1120;"Pelodiscus sinensis";"Carapace width";-0,87
"102";339;1120;"Pelodiscus sinensis";"Mass";-0,752
"103";345;1126;"Saproscincus mustelinus";"Handling time";1,987
"104";346;1126;"Anepischetosia maccoyi";"Handling time";0,992
"105";347;1126;"Lampropholis delicata";"Handling time";-3,48
"106";351;1126;"Lampropholis delicata";"Mass";0,067
"107";352;1126;"Saproscincus mustelinus";"Mass";0,03
"108";353;1126;"Anepischetosia maccoyi";"Mass";0,222
"109";354;1126;"Lampropholis delicata";"Tongue flicking";-0,518
"110";355;1126;"Saproscincus mustelinus";"Tongue flicking";-0,516
"111";356;1126;"Anepischetosia maccoyi";"Tongue flicking";1,078
"112";357;1126;"Lampropholis delicata";"Proportion captured by active snakes";0,277
